Station Name,Station Id,State Code,State Name,Network Code,Network Name,Elevation,Latitude,Longitude,County Name,County Code,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),DCO,Acton Id,SHEF Id,Start Date,End Date
Trinchera,829,CO,COLORADO,SNTL,SNOTEL,10922,37.35296,-105.23259,Costilla,023,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010002,Alamosa-Trinchera,1301000206,Trinchera Creek-Sangre de Cristo Creek,130100020601,North Fork Trinchera Creek,-8.0,CO,05M08S,TCHC2,1988-10-01,2100-01-01
University Camp,838,CO,COLORADO,SNTL,SNOTEL,10360,40.03307,-105.57562,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000504,Headwaters Boulder Creek,101900050401,North Boulder Creek,-8.0,CO,05J08S,UVCC2,1978-10-01,2100-01-01
Upper Rio Grande,839,CO,COLORADO,SNTL,SNOTEL,9379,37.72172,-107.25971,Hinsdale,053,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010001,Rio Grande Headwaters,1301000101,Headwaters Rio Grande,130100010106,Rio Grande Reservoir,-8.0,CO,07M16S,URGC2,1985-10-01,2100-01-01
Upper San Juan,840,CO,COLORADO,SNTL,SNOTEL,10140,37.48563,-106.83528,Mineral,079,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080101,Upper San Juan,1408010102,West Fork San Juan River,140801010203,Wolf Creek,-8.0,CO,06M03S,USJC2,1978-10-01,2100-01-01
Upper Taylor,1141,CO,COLORADO,SNTL,SNOTEL,10717,38.99071,-106.74504,Gunnison,051,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020001,East-Taylor,1402000101,Taylor River,140200010101,Upper Taylor River,-8.0,CO,06L14S,UPTC2,2009-08-26,2100-01-01
Ute Creek,1005,CO,COLORADO,SNTL,SNOTEL,10734,37.61480,-105.37322,Costilla,023,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010002,Alamosa-Trinchera,1301000206,Trinchera Creek-Sangre de Cristo Creek,130100020604,East Fork Ute Creek,-8.0,CO,05M17S,UTCC2,2000-08-16,2100-01-01
Vail Mountain,842,CO,COLORADO,SNTL,SNOTEL,10310,39.61765,-106.38019,Eagle,037,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010003,Eagle,1401000301,Gore Creek,140100030102,Middle Gore Creek,-8.0,CO,06K39S,VLMC2,1978-10-01,2100-01-01
Vallecito,843,CO,COLORADO,SNTL,SNOTEL,10782,37.48524,-107.50748,La Plata,067,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080101,Upper San Juan,1408010111,Upper Los Pinos River,140801011105,Indian Creek-Los Pinos River,-8.0,CO,07M31S,VALC2,1985-10-01,2100-01-01
Wager Gulch,1188,CO,COLORADO,SNTL,SNOTEL,11132,37.88248,-107.36428,Hinsdale,053,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020002,Upper Gunnison,1402000206,Lake Fork,140200020602,Lake Sanc Cristobal-Lake Fork,-8.0,CO,07M37S,WRGC2,2011-07-28,2100-01-01
Weminuche Creek,1160,CO,COLORADO,SNTL,SNOTEL,10749,37.51968,-107.32139,Hinsdale,053,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080102,Piedra,1408010202,Middle Piedra River,140801020203,Sand Creek,-8.0,CO,07M36S,WMNC2,2010-10-01,2100-01-01
Whiskey Ck,857,CO,COLORADO,SNTL,SNOTEL,10290,37.21423,-105.12262,Las Animas,071,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020010,Purgatoire,1102001001,Headwaters Purgatorie River,110200100102,North Fork Purgatoire River,-8.0,CO,05M14S,WSKC2,1979-10-01,2100-01-01
Wild Basin,1042,CO,COLORADO,SNTL,SNOTEL,9439,40.20100,-105.60250,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000502,North Saint Vrain Creek,101900050202,Headwaters North Saint Vrain Creek,-8.0,CO,05J05S,WLBC2,2002-12-13,2100-01-01
Willow Creek Pass,869,CO,COLORADO,SNTL,SNOTEL,9523,40.34734,-106.09520,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000101,Willow Creek,140100010102,Upper Willow Creek,-8.0,CO,06J05S,WLLC2,1978-10-01,2100-01-01
Willow Park,870,CO,COLORADO,SNTL,SNOTEL,10732,40.43397,-105.73588,Larimer,069,10,Missouri Region,1019,South Platte,101900,South Platte,10190006,Big Thompson,1019000602,Headwaters Big Thompson River,101900060204,Fall River,-8.0,CO,05J40S,WPRC2,1979-10-01,2100-01-01
Wolf Creek Summit,874,CO,COLORADO,SNTL,SNOTEL,10957,37.47903,-106.80234,Mineral,079,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080101,Upper San Juan,1408010102,West Fork San Juan River,140801010203,Wolf Creek,-8.0,CO,06M17S,WCSC2,1985-10-01,2100-01-01
Zirkel,1033,CO,COLORADO,SNTL,SNOTEL,9338,40.79492,-106.59544,Jackson,057,10,Missouri Region,1018,North Platte,101800,North Platte,10180001,North Platte Headwaters,1018000102,North Fork North Platte River,101800010202,Middle North Fork North Platte River,-8.0,CO,06J19S,ZIRC2,2002-08-14,2100-01-01
""
